index,url,language,approach1,approach2,approach3,approach4
1,https://www.youtube.com/watch?v=mkRvK26bkTQ&list=PLVl8vTLjje8Fs309NgA8kn_yOE9h6O2Tq&index=1,English,17.826,151.803,127.672,249.723
2,https://www.youtube.com/watch?v=m-lckAgnVQw&list=PLVl8vTLjje8Fs309NgA8kn_yOE9h6O2Tq&index=2,English,11.895,123.949,94.681,216.515
3,https://www.youtube.com/watch?v=7Ek04qjT-xQ&list=PLVl8vTLjje8Fs309NgA8kn_yOE9h6O2Tq&index=3,English,14.469,123.603,103.040,271.722
4,https://www.youtube.com/watch?v=EpV83BVhXr4&list=PLVl8vTLjje8Fs309NgA8kn_yOE9h6O2Tq&index=4,English,9.153,96.962,49.108,227.590
5,https://www.youtube.com/watch?v=ZpXeefZ2jAM&list=PLVl8vTLjje8Fs309NgA8kn_yOE9h6O2Tq&index=5,English,8.121,99.376,54.395,235.581
6,https://www.youtube.com/watch?v=aH9Ok0D6tKc&list=PLVl8vTLjje8Fs309NgA8kn_yOE9h6O2Tq&index=6,English,12.562,193.654,91.789,171.320
7,https://www.youtube.com/watch?v=Z6UVjp_y8HY&list=PLVl8vTLjje8Fs309NgA8kn_yOE9h6O2Tq&index=7,English,13.916,142.836,108.268,234.026
8,https://www.youtube.com/watch?v=mJk02XI_sRA&list=PLVl8vTLjje8Fs309NgA8kn_yOE9h6O2Tq&index=8,English,10.049,119.990,72.068,205.465
9,https://www.youtube.com/watch?v=jVBjQYQZL5E&list=PLVl8vTLjje8Fs309NgA8kn_yOE9h6O2Tq&index=9,English,6.944,81.198,27.744,192.726
10,https://www.youtube.com/watch?v=VH_QpmH_lhU&list=PLVl8vTLjje8Fs309NgA8kn_yOE9h6O2Tq&index=10,English,6.874,89.674,49.692,185.782
11,https://www.youtube.com/watch?v=bJgU8JVPexY&list=PLVl8vTLjje8Fs309NgA8kn_yOE9h6O2Tq&index=11,English,17.061,201.908,124.874,246.272
12,https://www.youtube.com/watch?v=qGRmCMLzFbM&list=PLVl8vTLjje8Fs309NgA8kn_yOE9h6O2Tq&index=12,English,17.254,126.140,128.114,218.168
13,https://www.youtube.com/watch?v=Hp5VIvzYwGA&list=PLVl8vTLjje8Fs309NgA8kn_yOE9h6O2Tq&index=13,English,18.300,115.400,124.081,212.179
14,https://www.youtube.com/watch?v=CmeAZ5iQlSs&list=PLVl8vTLjje8Fs309NgA8kn_yOE9h6O2Tq&index=14,English,18.105,124.900,130.002,194.939
15,https://www.youtube.com/watch?v=TVrv9pklgbY&list=PLVl8vTLjje8Fs309NgA8kn_yOE9h6O2Tq&index=15,English,17.832,134.364,152.475,161.939
